sweaw,Star Wars Empire at War
sweawfoc,Star Wars Empire at War Forces of Corruption
1602ad,1602 A.D.
1701ad,1701 A.D
18wosaa,18 Wheels of Steel Across America
18wosc,18 Wheels of Steel Convoy
pttm,18 Wheels of Steel Pedal to the Metal
fifawc06,2006 FIFA World Cup
25tolife,25 to Life
4x4evo2,4x4 Evo2
4x4evo,4x4 Evolution
a3,A3
abpoker,Absolute Poker.com
actwarht,Act of War - High Treason
actwar,Act of War: Direct Action
utact,Action Unreal Tournament 2004
ar,Advent Rising
aoe,Age of Empires
aoe2,Age of Empires II
age2x1,Age of Empires II: The Conquerors Expansion
aoe3,Age of Empires III
aoe3twc,Age of Empires III - The WarChiefs
aoe3t,Age of Empires III Trial
aoer,Age of Empires: The Rise of Rome
aom,Age of Mythology
aomx,Age of Mythology - The Titans Expansion
aowsm,Age of Wonders: Shadow Magic
airtcoon,Airport Tycoon
alb18,Albatross18
avp2,Aliens vs. Predator 2
aao,America's Army: Special Forces
ao,Anarchy Online
alord,Archlord
a51,Area 51
armed,Armed and Dangerous
exigo,Armies of Exigo
exigospd,Armies of Exigo Single Player Demo
ashc,Asheron's Call
ashc2,Asheron's Call 2
aa,Auto Assault
ana,Axis & Allies
bdla,Bad Day LA
baldur,Baldur's Gate
bfme2,Battle for Middle-earth II
bfme2b,Battle for Middle-earth II Beta
bf1942,Battlefield 1942
bf1942mpd,Battlefield 1942 Multiplayer Demo
bf1942swd,Battlefield 1942 Secret Weapons of WWII Demo
bf1942spd,Battlefield 1942 Singleplayer Demo
bf2,Battlefield 2
bf2dem,Battlefield 2 Demo
bf2142,Battlefield 2142
bf2142d,Battlefield 2142 Demo
bfv,Battlefield Vietnam
bsmidway,Battlestations Midway
bor,Beats of Rage
bos,Bet on Soldier
bw,Black & White
bw2,Black & White 2
bw2bg,Black & White 2 Battle of the Gods
blang,Blazing Angels
blitz,Blitzkrieg
blitz2,Blitzkrieg 2
brayne,BloodRayne
brayne2,BloodRayne 2
bshift,Blue Shift
breed,Breed
bia,Brothers in Arms
biaeib,Brothers in Arms EIB
biaeibd,Brothers in Arms EIB Demo
bzf,BZFlag
ccgen,C&C Generals
ccgzh,C&C Generals - Zero Hour
ccra,C&C Red Alert
